# Weather station Nottingham, UK, WMO_ID=3354,selection from 11.11.2020 till 21.12.2020, all days
# Encoding: ANSI
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3354&lang=en
#
"Local time in Nottingham";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.12.2020 20:00";"4.6";"748.5";"759.3";"1.1";"89";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"2.9";"";"";"";"";"";"";
"20.12.2020 19:00";"5.2";"748.2";"759.0";"1.1";"88";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"3.3";"";"";"";"";"";"";
"20.12.2020 18:00";"5.4";"747.8";"758.6";"1.0";"88";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"8.1";"";"";"2500 or more, or no clouds.";"";"";"45.0";"3.6";"0.6";"12";"";"";"";"";
"20.12.2020 17:00";"5.8";"747.4";"758.2";"0.9";"91";"Wind blowing from the south-southwest";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"4.5";"";"";"";"";"";"";
"20.12.2020 16:00";"6.5";"747.1";"757.9";"0.9";"92";"Wind blowing from the south-west";"3";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"300-600";"";"";"10.0";"5.3";"";"";"";"";"";"";
"20.12.2020 15:00";"6.6";"746.8";"757.6";"0.7";"85";"Wind blowing from the west-southwest";"3";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"600-1000";"";"";"35.0";"4.2";"";"";"";"";"";"";
"20.12.2020 14:00";"7.4";"746.5";"757.2";"0.5";"87";"Wind blowing from the west-southwest";"4";"";"";"";"Drizzle and rain, slight. ";"";"";"";"";"";"";"300-600";"";"";"23.0";"5.3";"";"";"";"";"";"";
"20.12.2020 13:00";"8.1";"746.2";"756.9";"0.2";"82";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"35.0";"5.1";"";"";"";"";"";"";
"20.12.2020 12:00";"6.9";"746.1";"756.8";"0.5";"83";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"35.0";"4.1";"No precipitation";"6";"";"";"";"";
"20.12.2020 11:00";"7.0";"746.0";"756.7";"0.8";"82";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"4.1";"";"";"";"";"";"";
"20.12.2020 10:00";"6.0";"746.0";"756.8";"1.3";"85";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"35.0";"3.7";"";"";"";"";"";"";
"20.12.2020 09:00";"5.2";"745.6";"756.4";"1.1";"90";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"29.0";"3.7";"";"";"";"";"";"";
"20.12.2020 08:00";"4.7";"745.2";"756.0";"1.1";"91";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"24.0";"3.4";"";"";"";"";"";"";
"20.12.2020 07:00";"4.8";"744.7";"755.5";"0.8";"90";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"3.3";"";"";"";"";"";"";
"20.12.2020 06:00";"5.3";"744.5";"755.3";"0.8";"88";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"5.2";"";"";"";"2500 or more, or no clouds.";"";"";"30.0";"3.5";"0.2";"12";"";"";"";"";
"20.12.2020 05:00";"5.6";"744.1";"754.9";"0.6";"90";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"27.0";"4.0";"";"";"";"";"";"";
"20.12.2020 04:00";"5.7";"743.9";"754.6";"0.6";"89";"Wind blowing from the south-southwest";"5";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"27.0";"4.0";"";"";"";"";"";"";
"20.12.2020 03:00";"6.0";"743.7";"754.4";"0.5";"89";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"4.3";"";"";"";"";"";"";
"20.12.2020 02:00";"6.0";"743.5";"754.3";"0.6";"89";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"30.0";"4.3";"";"";"";"";"";"";
"20.12.2020 01:00";"6.3";"743.3";"754.0";"0.8";"90";"Wind blowing from the south-southwest";"4";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"28.0";"4.7";"";"";"";"";"";"";
"20.12.2020 00:00";"6.4";"743.2";"753.9";"1.1";"90";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"27.0";"4.9";"0.2";"6";"";"";"";"";
"19.12.2020 23:00";"6.0";"742.9";"753.6";"1.2";"92";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"28.0";"4.8";"";"";"";"";"";"";
"19.12.2020 22:00";"6.8";"742.5";"753.1";"1.2";"86";"Wind blowing from the south-southwest";"5";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1500-2000";"";"";"40.0";"4.6";"";"";"";"";"";"";
"19.12.2020 21:00";"6.8";"742.1";"752.8";"1.4";"87";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"4.7";"";"";"";"";"";"";
"19.12.2020 20:00";"6.7";"741.7";"752.3";"1.1";"84";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"40.0";"4.2";"";"";"";"";"";"";
"19.12.2020 19:00";"7.9";"741.3";"751.9";"0.8";"80";"Wind blowing from the south-southwest";"5";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"4.7";"";"";"";"";"";"";
"19.12.2020 18:00";"8.5";"740.7";"751.3";"0.5";"83";"Wind blowing from the south";"6";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"10.8";"";"";"1000-1500";"";"";"8.0";"5.7";"Trace of precipitation";"12";"";"";"";"";
"19.12.2020 17:00";"8.3";"740.6";"751.2";"0.7";"82";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"28.0";"5.4";"";"";"";"";"";"";
"19.12.2020 16:00";"8.7";"740.5";"751.0";"1.0";"77";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"30.0";"4.8";"";"";"";"";"";"";
"19.12.2020 15:00";"9.6";"740.2";"750.7";"0.9";"73";"Wind blowing from the south-southwest";"6";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"4.9";"";"";"";"";"";"";
"19.12.2020 14:00";"10.7";"739.9";"750.4";"0.5";"71";"Wind blowing from the south-southwest";"6";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"40.0";"5.5";"";"";"";"";"";"";
"19.12.2020 13:00";"10.0";"739.5";"750.0";"0.2";"76";"Wind blowing from the south-southwest";"6";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"35.0";"6.0";"";"";"";"";"";"";
"19.12.2020 12:00";"10.2";"739.3";"749.8";"0.3";"76";"Wind blowing from the south-southwest";"6";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"27.0";"6.2";"Trace of precipitation";"6";"";"";"";"";
"19.12.2020 11:00";"10.0";"739.4";"749.9";"0.9";"81";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"40.0";"6.8";"";"";"";"";"";"";
"19.12.2020 10:00";"9.7";"739.3";"749.8";"1.1";"87";"Wind blowing from the south-southwest";"6";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"30.0";"7.7";"";"";"";"";"";"";
"19.12.2020 09:00";"9.4";"739.0";"749.5";"1.0";"91";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"30.0";"8.0";"";"";"";"";"";"";
"19.12.2020 08:00";"9.2";"738.5";"749.0";"0.4";"94";"Wind blowing from the south";"5";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"45.0";"8.3";"";"";"";"";"";"";
"19.12.2020 07:00";"9.6";"738.2";"748.7";"-0.3";"95";"Wind blowing from the south";"5";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"200-300";"";"";"40.0";"8.8";"";"";"";"";"";"";
"19.12.2020 06:00";"9.7";"738.0";"748.4";"-0.9";"94";"Wind blowing from the south";"5";"";"";"";"Rain, not freezing, slight. ";"";"";"9.7";"";"";"";"200-300";"";"";"27.0";"8.8";"3.0";"12";"";"";"";"";
"19.12.2020 05:00";"9.9";"738.1";"748.6";"-1.2";"94";"Wind blowing from the south";"6";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"10.0";"8.9";"";"";"";"";"";"";
"19.12.2020 04:00";"10.3";"738.5";"749.0";"-1.1";"93";"Wind blowing from the south";"6";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"9.0";"9.2";"";"";"";"";"";"";
"19.12.2020 03:00";"10.7";"738.9";"749.3";"-1.1";"92";"Wind blowing from the south";"7";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"30.0";"9.4";"";"";"";"";"";"";
"19.12.2020 02:00";"10.9";"739.3";"749.8";"-1.0";"91";"Wind blowing from the south";"6";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"17.0";"9.4";"";"";"";"";"";"";
"19.12.2020 01:00";"10.9";"739.6";"750.1";"-1.1";"92";"Wind blowing from the south";"7";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"30.0";"9.7";"";"";"";"";"";"";
"19.12.2020 00:00";"11.2";"740.0";"750.5";"-0.9";"91";"Wind blowing from the south";"7";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"300-600";"";"";"40.0";"9.8";"0.8";"6";"";"";"";"";
"18.12.2020 23:00";"11.0";"740.3";"750.7";"-0.9";"95";"Wind blowing from the south";"6";"";"";"";"Drizzle, not freezing, moderate. ";"";"";"";"";"";"";"200-300";"";"";"4.6";"10.3";"";"";"";"";"";"";
"18.12.2020 22:00";"11.4";"740.7";"751.2";"-0.8";"94";"Wind blowing from the south";"7";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"8.0";"10.4";"";"";"";"";"";"";
"18.12.2020 21:00";"11.6";"740.9";"751.3";"-0.8";"94";"Wind blowing from the south";"7";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"15.0";"10.6";"";"";"";"";"";"";
"18.12.2020 20:00";"11.5";"741.2";"751.6";"-0.8";"96";"Wind blowing from the south";"7";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"6.0";"10.9";"";"";"";"";"";"";
"18.12.2020 19:00";"11.6";"741.5";"751.9";"-0.5";"95";"Wind blowing from the south";"6";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"200-300";"";"";"2.0";"10.8";"";"";"";"";"";"";
"18.12.2020 18:00";"11.7";"741.7";"752.2";"-0.6";"96";"Wind blowing from the south";"7";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"12.4";"";"";"200-300";"";"";"25.0";"11.0";"3.0";"12";"";"";"";"";
"18.12.2020 17:00";"12.2";"742.0";"752.4";"-0.8";"92";"Wind blowing from the south";"7";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"55.0";"10.9";"";"";"";"";"";"";
"18.12.2020 16:00";"12.2";"742.0";"752.5";"-1.4";"92";"Wind blowing from the south";"7";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"60.0";"11.0";"";"";"";"";"";"";
"18.12.2020 15:00";"11.8";"742.3";"752.8";"-1.0";"95";"Wind blowing from the south";"8";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"200-300";"";"";"13.0";"11.0";"";"";"";"";"";"";
"18.12.2020 14:00";"11.7";"742.8";"753.3";"-0.9";"95";"Wind blowing from the south";"7";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"9.0";"10.9";"";"";"";"";"";"";
"18.12.2020 13:00";"11.7";"743.4";"753.9";"-1.0";"93";"Wind blowing from the south-southwest";"8";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"200-300";"";"";"4.4";"10.6";"";"";"";"";"";"";
"18.12.2020 12:00";"11.5";"743.3";"753.8";"-1.3";"94";"Wind blowing from the south";"7";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"8.0";"10.6";"Trace of precipitation";"6";"";"";"";"";
"18.12.2020 11:00";"11.9";"743.7";"754.2";"-0.8";"89";"Wind blowing from the south";"6";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"300-600";"";"";"71.0";"10.1";"";"";"";"";"";"";
"18.12.2020 10:00";"11.6";"744.4";"754.9";"-0.3";"92";"Wind blowing from the south";"7";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"12.0";"10.3";"";"";"";"";"";"";
"18.12.2020 09:00";"11.2";"744.6";"755.1";"-0.1";"95";"Wind blowing from the south";"6";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"200-300";"";"";"24.0";"10.4";"";"";"";"";"";"";
"18.12.2020 08:00";"11.1";"744.5";"755.0";"-0.3";"95";"Wind blowing from the south";"5";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"200-300";"";"";"45.0";"10.3";"";"";"";"";"";"";
"18.12.2020 07:00";"11.2";"744.7";"755.2";"-0.6";"93";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"55.0";"10.1";"";"";"";"";"";"";
"18.12.2020 06:00";"11.0";"744.7";"755.3";"-0.9";"94";"Wind blowing from the south-southwest";"6";"";"";"";"Rain (not freezing). ";"";"";"8.6";"";"";"";"200-300";"";"";"45.0";"10.0";"4.0";"12";"";"";"";"";
"18.12.2020 05:00";"10.8";"744.8";"755.4";"-0.8";"94";"Wind blowing from the south-southwest";"6";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"70.0";"9.8";"";"";"";"";"";"";
"18.12.2020 04:00";"10.6";"745.3";"755.8";"-0.8";"95";"Wind blowing from the south-southwest";"5";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"200-300";"";"";"45.0";"9.8";"";"";"";"";"";"";
"18.12.2020 03:00";"10.6";"745.6";"756.1";"-0.6";"94";"Wind blowing from the south-southwest";"6";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"200-300";"";"";"27.0";"9.7";"";"";"";"";"";"";
"18.12.2020 02:00";"10.3";"745.6";"756.2";"-1.2";"94";"Wind blowing from the south-southwest";"6";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"200-300";"";"";"35.0";"9.3";"";"";"";"";"";"";
"18.12.2020 01:00";"10.0";"746.1";"756.7";"-1.0";"94";"Wind blowing from the south-southwest";"6";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"20.0";"9.0";"";"";"";"";"";"";
"18.12.2020 00:00";"9.8";"746.2";"756.8";"-1.5";"93";"Wind blowing from the south";"5";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"27.0";"8.7";"1.0";"6";"";"";"";"";
"17.12.2020 23:00";"10.2";"746.8";"757.4";"-1.1";"86";"Wind blowing from the south";"7";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"18.0";"8.0";"";"";"";"";"";"";
"17.12.2020 22:00";"10.2";"747.1";"757.7";"-1.3";"85";"Wind blowing from the south";"7";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"30.0";"7.7";"";"";"";"";"";"";
"17.12.2020 21:00";"9.8";"747.7";"758.2";"-0.8";"87";"Wind blowing from the south";"5";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"28.0";"7.7";"";"";"";"";"";"";
"17.12.2020 20:00";"9.4";"747.9";"758.5";"-0.7";"87";"Wind blowing from the south-southwest";"6";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"26.0";"7.4";"";"";"";"";"";"";
"17.12.2020 19:00";"9.1";"748.4";"759.1";"0.0";"87";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"26.0";"7.1";"";"";"";"";"";"";
"17.12.2020 18:00";"8.5";"748.5";"759.1";"-0.1";"88";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"9.5";"";"";"600-1000";"";"";"24.0";"6.6";"No precipitation";"12";"";"";"";"";
"17.12.2020 17:00";"8.0";"748.6";"759.4";"0.2";"88";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"13.0";"6.1";"";"";"";"";"";"";
"17.12.2020 16:00";"7.9";"748.4";"759.1";"0.1";"87";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"27.0";"5.9";"";"";"";"";"";"";
"17.12.2020 15:00";"8.1";"748.6";"759.2";"0.0";"86";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"13.0";"5.8";"";"";"";"";"";"";
"17.12.2020 14:00";"8.9";"748.4";"759.1";"-0.1";"80";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"40.0";"5.6";"";"";"";"";"";"";
"17.12.2020 13:00";"9.1";"748.3";"759.0";"0.3";"80";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"5.8";"";"";"";"";"";"";
"17.12.2020 12:00";"8.0";"748.6";"759.2";"1.0";"86";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"30.0";"5.8";"No precipitation";"6";"";"";"";"";
"17.12.2020 11:00";"7.0";"748.5";"759.3";"1.5";"93";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"23.0";"5.9";"";"";"";"";"";"";
"17.12.2020 10:00";"5.4";"748.0";"758.8";"1.6";"97";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"5.0";"";"";"";"";"";"";
"17.12.2020 09:00";"4.0";"747.6";"758.4";"1.7";"99";"Wind blowing from the south-southwest";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"9.0";"3.8";"";"";"";"";"";"";
"17.12.2020 08:00";"4.0";"747.0";"757.8";"1.5";"99";"Wind blowing from the south-southwest";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"7.0";"3.8";"";"";"";"";"";"";
"17.12.2020 07:00";"4.1";"746.4";"757.2";"1.1";"98";"Wind blowing from the south-west";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"7.0";"3.8";"";"";"";"";"";"";
"17.12.2020 06:00";"4.3";"745.9";"756.7";"0.7";"98";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"4.2";"";"";"";"100-200";"";"";"11.0";"4.0";"0.2";"12";"";"";"";"";
"17.12.2020 05:00";"4.5";"745.5";"756.3";"0.6";"98";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"15.0";"4.2";"";"";"";"";"";"";
"17.12.2020 04:00";"4.7";"745.3";"756.1";"0.6";"97";"Wind blowing from the south-west";"3";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"600-1000";"";"";"15.0";"4.3";"";"";"";"";"";"";
"17.12.2020 03:00";"4.5";"745.2";"756.0";"0.6";"98";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"12.0";"4.2";"";"";"";"";"";"";
"17.12.2020 02:00";"4.5";"744.9";"755.6";"0.8";"99";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"12.0";"4.3";"";"";"";"";"";"";
"17.12.2020 01:00";"4.5";"744.7";"755.5";"0.9";"97";"Wind blowing from the south-southwest";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"4.1";"";"";"";"";"";"";
"17.12.2020 00:00";"5.1";"744.6";"755.3";"1.0";"97";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"12.0";"4.7";"Trace of precipitation";"6";"";"";"";"";
"16.12.2020 23:00";"5.2";"744.1";"754.8";"0.7";"97";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"19.0";"4.7";"";"";"";"";"";"";
"16.12.2020 22:00";"5.6";"743.8";"754.5";"0.9";"95";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"22.0";"4.9";"";"";"";"";"";"";
"16.12.2020 21:00";"5.9";"743.6";"754.3";"1.3";"93";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"30.0";"4.9";"";"";"";"";"";"";
"16.12.2020 20:00";"6.6";"743.4";"754.0";"1.1";"92";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"5.3";"";"";"";"";"";"";
"16.12.2020 19:00";"7.2";"742.9";"753.6";"1.1";"89";"Wind blowing from the south-southwest";"4";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"2000-2500";"";"";"55.0";"5.5";"";"";"";"";"";"";
"16.12.2020 18:00";"7.4";"742.3";"752.9";"0.8";"91";"Wind blowing from the south";"4";"";"";"";"Rain, not freezing, slight. ";"";"";"";"9.3";"";"";"1500-2000";"";"";"35.0";"6.0";"3.0";"12";"";"";"";"";
"16.12.2020 17:00";"7.1";"742.3";"753.0";"1.2";"95";"Wind blowing from the south";"2";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"2000-2500";"";"";"30.0";"6.4";"";"";"";"";"";"";
"16.12.2020 16:00";"7.2";"741.8";"752.4";"0.5";"95";"Wind blowing from the south";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"2000-2500";"";"";"35.0";"6.5";"";"";"";"";"";"";
"16.12.2020 15:00";"7.9";"741.5";"752.2";"-0.2";"90";"Wind blowing from the west-southwest";"4";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"14.0";"6.4";"";"";"";"";"";"";
"16.12.2020 14:00";"8.7";"741.1";"751.6";"-0.9";"90";"Wind blowing from the south-southeast";"7";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"300-600";"";"";"4.0";"7.2";"";"";"";"";"";"";
"16.12.2020 13:00";"9.0";"741.3";"751.8";"-1.0";"86";"Wind blowing from the south-southeast";"7";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"19.0";"6.7";"";"";"";"";"";"";
"16.12.2020 12:00";"9.2";"741.7";"752.2";"-0.7";"83";"Wind blowing from the south-southeast";"8";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"6.5";"0.2";"6";"";"";"";"";
"16.12.2020 11:00";"9.3";"742.0";"752.6";"-0.7";"84";"Wind blowing from the south-southeast";"8";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"1500-2000";"";"";"25.0";"6.7";"";"";"";"";"";"";
"16.12.2020 10:00";"9.0";"742.3";"752.9";"-0.3";"86";"Wind blowing from the south-southeast";"8";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"2000-2500";"";"";"23.0";"6.7";"";"";"";"";"";"";
"16.12.2020 09:00";"8.6";"742.4";"753.1";"-0.2";"87";"Wind blowing from the south-southeast";"7";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1500-2000";"";"";"30.0";"6.6";"";"";"";"";"";"";
"16.12.2020 08:00";"7.9";"742.7";"753.3";"-0.2";"92";"Wind blowing from the south-southeast";"6";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"1500-2000";"";"";"12.0";"6.7";"";"";"";"";"";"";
"16.12.2020 07:00";"7.8";"742.6";"753.2";"-0.5";"90";"Wind blowing from the south-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"30.0";"6.2";"";"";"";"";"";"";
"16.12.2020 06:00";"7.8";"742.6";"753.2";"-1.1";"90";"Wind blowing from the south-southeast";"7";"";"";"";" ";"";"";"5.8";"";"";"";"2500 or more, or no clouds.";"";"";"30.0";"6.2";"No precipitation";"12";"";"";"";"";
"16.12.2020 05:00";"7.5";"742.9";"753.5";"-1.2";"91";"Wind blowing from the south-southeast";"6";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"28.0";"6.1";"";"";"";"";"";"";
"16.12.2020 04:00";"7.0";"743.1";"753.8";"-1.2";"93";"Wind blowing from the south-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"29.0";"5.9";"";"";"";"";"";"";
"16.12.2020 03:00";"6.7";"743.7";"754.4";"-0.8";"95";"Wind blowing from the south-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"24.0";"5.9";"";"";"";"";"";"";
"16.12.2020 02:00";"6.8";"744.1";"754.7";"-0.5";"95";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"20.0";"6.1";"";"";"";"";"";"";
"16.12.2020 01:00";"6.4";"744.3";"755.0";"-0.2";"96";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"16.0";"5.8";"";"";"";"";"";"";
"16.12.2020 00:00";"5.1";"744.6";"755.3";"0.1";"97";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"12.0";"4.7";"Trace of precipitation";"6";"";"";"";"";
"15.12.2020 23:00";"5.9";"744.6";"755.3";"0.3";"95";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"21.0";"5.2";"";"";"";"";"";"";
"15.12.2020 22:00";"6.0";"744.5";"755.2";"0.7";"94";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"22.0";"5.1";"";"";"";"";"";"";
"15.12.2020 21:00";"6.0";"744.5";"755.2";"1.2";"93";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"21.0";"4.9";"";"";"";"";"";"";
